x,y,label
-8.08433,-8.00839,0.00000
4.17018,3.00546,0.00000
-3.57879,6.95838,0.00000
-8.51129,-1.54836,0.00000
1.41369,-12.41848,0.00000
-3.16251,12.19543,1.00000
-9.08184,-1.53342,0.00000
14.78252,-5.19304,0.00000
6.64167,-5.10154,1.00000
-1.95848,-12.89198,0.00000
-6.71314,4.94855,0.00000
-7.08762,2.17186,0.00000
5.14276,-9.76644,0.00000
5.58637,10.88818,1.00000
3.43888,-12.26458,0.00000
-3.75030,-11.16037,0.00000
5.00092,-4.13349,1.00000
-15.40147,-1.05866,1.00000
-7.94406,6.11422,0.00000
-1.24821,-11.12337,0.00000
4.46073,-12.08543,0.00000
-3.51789,-10.00056,0.00000
-2.25887,-11.64432,0.00000
8.82383,-10.87802,0.00000
8.88376,5.92976,1.00000
8.02837,3.26214,1.00000
10.78128,-9.63251,0.00000
8.99318,-0.77321,1.00000
9.32430,2.70349,1.00000
9.55094,-3.09852,1.00000
0.23851,-11.76943,0.00000
-9.00188,-5.78950,0.00000
5.28349,-5.21306,1.00000
1.85404,3.75652,0.00000
-8.42530,-5.67632,0.00000
-0.96729,-11.16981,0.00000
7.56099,7.63599,1.00000
-8.65663,-6.45325,0.00000
16.43045,-2.81780,0.00000
8.78587,8.84255,1.00000
10.18645,1.93668,1.00000
1.36694,-13.47462,0.00000
9.63574,-0.06468,1.00000
7.99488,-5.28493,1.00000
-10.02590,-1.03521,0.00000
3.29448,-12.47094,0.00000
6.30275,7.81099,1.00000
7.84235,-12.29870,0.00000
-13.40684,5.41148,1.00000
-4.08093,-12.02641,0.00000
10.64334,0.68156,1.00000
-8.27574,9.54152,1.00000
6.57357,-11.00581,0.00000
-15.85617,2.85903,1.00000
-7.35013,12.16047,1.00000
-5.05132,-9.09716,0.00000
-4.02890,8.45831,0.00000
3.44444,-5.57302,1.00000
-16.58433,4.72800,1.00000
-10.29318,9.99135,1.00000
-9.61751,0.10626,0.00000
1.83348,10.68877,1.00000
5.70984,9.53364,1.00000
9.07499,0.20618,1.00000
-12.98345,6.03610,1.00000
-4.84890,-11.05490,0.00000
1.43378,7.39761,0.00000
16.98211,-4.58996,0.00000
-4.25467,-13.21986,0.00000
6.75725,9.60743,1.00000
-6.78721,-9.25148,0.00000
4.00276,-4.80431,1.00000
3.68840,3.94030,0.00000
5.48387,9.98309,1.00000
-7.50577,3.89722,0.00000
9.08912,4.84963,1.00000
-12.29630,8.10518,1.00000
-5.06568,12.80550,1.00000
9.97718,2.17284,1.00000
3.72822,-12.40601,0.00000
5.47644,-14.23054,0.00000
8.51258,-10.64996,0.00000
11.04659,2.07006,1.00000
7.81603,6.66053,1.00000
10.74322,-6.65901,0.00000
14.86485,-2.34103,0.00000
10.73940,-10.58809,0.00000
0.93120,-13.30822,0.00000
-6.73468,0.81615,0.00000
9.50408,-3.04524,1.00000
0.07303,-12.37046,0.00000
0.66388,-11.73853,0.00000
-4.54149,-10.22812,0.00000
6.14008,-6.08294,1.00000
4.12485,-12.63043,0.00000
10.31465,7.60501,1.00000
-6.53345,-9.77477,0.00000
-8.67244,-2.94316,0.00000
-9.44110,-5.23428,0.00000
2.28523,11.19062,1.00000
-4.72733,11.27733,1.00000
13.68391,-4.94133,0.00000
14.72505,-1.16720,0.00000
-9.32077,10.34448,1.00000
1.93376,5.21628,0.00000
0.21463,12.01243,1.00000
-12.91190,9.04091,1.00000
7.09697,-11.40266,0.00000
1.92857,-12.65914,0.00000
-15.14929,5.13830,1.00000
-2.79752,8.27344,0.00000
-10.53158,-3.83258,0.00000
-8.52072,10.35416,1.00000
-4.13513,10.64870,1.00000
15.35428,-1.90697,0.00000
12.03286,-8.99234,0.00000
9.39560,-1.96901,1.00000
-13.97788,2.16655,1.00000
-14.12423,1.75415,1.00000
-14.63568,2.48617,1.00000
10.86089,0.87371,1.00000
-2.76998,-4.62201,1.00000
-4.69994,10.05152,1.00000
0.89762,11.73074,1.00000
9.29255,-1.61291,1.00000
-12.94484,5.52820,1.00000
-5.55548,-9.32596,0.00000
-13.52438,2.77572,1.00000
5.70019,-3.07423,1.00000
9.20826,6.03949,1.00000
7.09612,7.47824,1.00000
-8.58645,2.45900,0.00000
-17.59277,1.49516,1.00000
-1.99514,10.72039,1.00000
-8.04925,1.20415,0.00000
4.93193,-3.84879,1.00000
-9.01463,-6.31024,0.00000
9.60950,-2.52834,1.00000
-12.84661,8.30647,1.00000
7.98635,-4.22958,1.00000
-1.96778,-4.55943,1.00000
-2.96757,0.00938,1.00000
3.22594,10.17675,1.00000
4.15016,-13.93339,0.00000
-9.89601,-4.26114,0.00000
-9.60400,-3.37229,0.00000
7.92354,-10.68917,0.00000
-10.57837,0.88600,0.00000
-15.29071,0.86052,1.00000
-14.10013,3.08849,1.00000
-12.03960,9.56363,1.00000
-3.34179,12.07179,1.00000
2.89323,6.26289,0.00000
-11.35682,8.70894,1.00000
-9.57630,-5.46799,0.00000
6.03214,-11.25628,0.00000
-1.80601,-9.65969,0.00000
-6.78760,5.34503,0.00000
4.15451,-12.03044,0.00000
7.02723,-5.29718,1.00000
-16.45885,1.42958,1.00000
16.24778,-3.89254,0.00000
-0.01742,-10.07354,0.00000
-7.74747,2.30536,0.00000
-2.10538,5.76133,0.00000
-13.27136,1.97456,1.00000
0.90266,3.57368,0.00000
-14.40094,1.26973,1.00000
-4.71455,13.17144,1.00000
-4.14672,14.89772,1.00000
8.50573,4.01822,1.00000
7.62660,-10.30099,0.00000
-7.58210,5.36074,0.00000
-15.02987,-0.91532,1.00000
9.44388,-4.55755,1.00000
-4.43041,-9.83562,0.00000
-10.74287,7.60217,1.00000
-6.12501,-11.20546,0.00000
-0.33440,-6.87183,1.00000
12.90144,-8.19640,0.00000
16.99699,-3.18269,0.00000
-3.24365,-11.35056,0.00000
